sepal.length,sepal.width,petal.length,petal.width,variety
Setosa,3.5,1.4,0.2,Setosa
Setosa,3,1.4,0.2,Setosa
Setosa,3.2,1.3,0.2,Setosa
Setosa,3.1,1.5,0.2,Setosa
Setosa,3.6,1.4,0.2,Setosa
Setosa,3.9,1.7,0.4,Setosa
Setosa,3.4,1.4,0.3,Setosa
Setosa,3.4,1.5,0.2,Setosa
Setosa,2.9,1.4,0.2,Setosa
Setosa,3.1,1.5,0.1,Setosa
Setosa,3.7,1.5,0.2,Setosa
Setosa,3.4,1.6,0.2,Setosa
Setosa,3,1.4,0.1,Setosa
Setosa,3,1.1,0.1,Setosa
Setosa,4,1.2,0.2,Setosa
Setosa,4.4,1.5,0.4,Setosa
Setosa,3.9,1.3,0.4,Setosa
Setosa,3.5,1.4,0.3,Setosa
Setosa,3.8,1.7,0.3,Setosa
Setosa,3.8,1.5,0.3,Setosa
Setosa,3.4,1.7,0.2,Setosa
Setosa,3.7,1.5,0.4,Setosa
Setosa,3.6,1,0.2,Setosa
Setosa,3.3,1.7,0.5,Setosa
Setosa,3.4,1.9,0.2,Setosa
Setosa,3,1.6,0.2,Setosa
Setosa,3.4,1.6,0.4,Setosa
Setosa,3.5,1.5,0.2,Setosa
Setosa,3.4,1.4,0.2,Setosa
Setosa,3.2,1.6,0.2,Setosa
Setosa,3.1,1.6,0.2,Setosa
Setosa,3.4,1.5,0.4,Setosa
Setosa,4.1,1.5,0.1,Setosa
Setosa,4.2,1.4,0.2,Setosa
Setosa,3.1,1.5,0.2,Setosa
Setosa,3.2,1.2,0.2,Setosa
Setosa,3.5,1.3,0.2,Setosa
Setosa,3.6,1.4,0.1,Setosa
Setosa,3,1.3,0.2,Setosa
Setosa,3.4,1.5,0.2,Setosa
Setosa,3.5,1.3,0.3,Setosa
Setosa,2.3,1.3,0.3,Setosa
Setosa,3.2,1.3,0.2,Setosa
Setosa,3.5,1.6,0.6,Setosa
Setosa,3.8,1.9,0.4,Setosa
Setosa,3,1.4,0.3,Setosa
Setosa,3.8,1.6,0.2,Setosa
Setosa,3.2,1.4,0.2,Setosa
Setosa,3.7,1.5,0.2,Setosa
Setosa,3.3,1.4,0.2,Setosa
Setosa,3.2,4.7,1.4,Versicolor
Setosa,3.2,4.5,1.5,Versicolor
Setosa,3.1,4.9,1.5,Versicolor
Setosa,2.3,4,1.3,Versicolor
Setosa,2.8,4.6,1.5,Versicolor
Setosa,2.8,4.5,1.3,Versicolor
Setosa,3.3,4.7,1.6,Versicolor
Setosa,2.4,3.3,1,Versicolor
Setosa,2.9,4.6,1.3,Versicolor
Setosa,2.7,3.9,1.4,Versicolor
Setosa,2,3.5,1,Versicolor
Setosa,3,4.2,1.5,Versicolor
Setosa,2.2,4,1,Versicolor
Setosa,2.9,4.7,1.4,Versicolor
Setosa,2.9,3.6,1.3,Versicolor
Setosa,3.1,4.4,1.4,Versicolor
Setosa,3,4.5,1.5,Versicolor
Setosa,2.7,4.1,1,Versicolor
Setosa,2.2,4.5,1.5,Versicolor
Setosa,2.5,3.9,1.1,Versicolor
Setosa,3.2,4.8,1.8,Versicolor
Setosa,2.8,4,1.3,Versicolor
Setosa,2.5,4.9,1.5,Versicolor
Setosa,2.8,4.7,1.2,Versicolor
Setosa,2.9,4.3,1.3,Versicolor
Setosa,3,4.4,1.4,Versicolor
Setosa,2.8,4.8,1.4,Versicolor
Setosa,3,5,1.7,Versicolor
Setosa,2.9,4.5,1.5,Versicolor
Setosa,2.6,3.5,1,Versicolor
Setosa,2.4,3.8,1.1,Versicolor
Setosa,2.4,3.7,1,Versicolor
Setosa,2.7,3.9,1.2,Versicolor
Setosa,2.7,5.1,1.6,Versicolor
Setosa,3,4.5,1.5,Versicolor
Setosa,3.4,4.5,1.6,Versicolor
Setosa,3.1,4.7,1.5,Versicolor
Setosa,2.3,4.4,1.3,Versicolor
Setosa,3,4.1,1.3,Versicolor
Setosa,2.5,4,1.3,Versicolor
Setosa,2.6,4.4,1.2,Versicolor
Setosa,3,4.6,1.4,Versicolor
Setosa,2.6,4,1.2,Versicolor
Setosa,2.3,3.3,1,Versicolor
Setosa,2.7,4.2,1.3,Versicolor
Setosa,3,4.2,1.2,Versicolor
Setosa,2.9,4.2,1.3,Versicolor
Setosa,2.9,4.3,1.3,Versicolor
Setosa,2.5,3,1.1,Versicolor
Setosa,2.8,4.1,1.3,Versicolor
Setosa,3.3,6,2.5,Virginica
Setosa,2.7,5.1,1.9,Virginica
Setosa,3,5.9,2.1,Virginica
Setosa,2.9,5.6,1.8,Virginica
Setosa,3,5.8,2.2,Virginica
Setosa,3,6.6,2.1,Virginica
Setosa,2.5,4.5,1.7,Virginica
Setosa,2.9,6.3,1.8,Virginica
Setosa,2.5,5.8,1.8,Virginica
Setosa,3.6,6.1,2.5,Virginica
Setosa,3.2,5.1,2,Virginica
Setosa,2.7,5.3,1.9,Virginica
Setosa,3,5.5,2.1,Virginica
Setosa,2.5,5,2,Virginica
Setosa,2.8,5.1,2.4,Virginica
Setosa,3.2,5.3,2.3,Virginica
Setosa,3,5.5,1.8,Virginica
Setosa,3.8,6.7,2.2,Virginica
Setosa,2.6,6.9,2.3,Virginica
Setosa,2.2,5,1.5,Virginica
Setosa,3.2,5.7,2.3,Virginica
Setosa,2.8,4.9,2,Virginica
Setosa,2.8,6.7,2,Virginica
Setosa,2.7,4.9,1.8,Virginica
Setosa,3.3,5.7,2.1,Virginica
Setosa,3.2,6,1.8,Virginica
Setosa,2.8,4.8,1.8,Virginica
Setosa,3,4.9,1.8,Virginica
Setosa,2.8,5.6,2.1,Virginica
Setosa,3,5.8,1.6,Virginica
Setosa,2.8,6.1,1.9,Virginica
Setosa,3.8,6.4,2,Virginica
Setosa,2.8,5.6,2.2,Virginica
Setosa,2.8,5.1,1.5,Virginica
Setosa,2.6,5.6,1.4,Virginica
Setosa,3,6.1,2.3,Virginica
Setosa,3.4,5.6,2.4,Virginica
Setosa,3.1,5.5,1.8,Virginica
Setosa,3,4.8,1.8,Virginica
Setosa,3.1,5.4,2.1,Virginica
Setosa,3.1,5.6,2.4,Virginica
Setosa,3.1,5.1,2.3,Virginica
Setosa,2.7,5.1,1.9,Virginica
Setosa,3.2,5.9,2.3,Virginica
Setosa,3.3,5.7,2.5,Virginica
Setosa,3,5.2,2.3,Virginica
Setosa,2.5,5,1.9,Virginica
Setosa,3,5.2,2,Virginica
Setosa,3.4,5.4,2.3,Virginica
Setosa,3,5.1,1.8,Virginica
